Name,Abbr.,Division,Established,Native,Area (km2),Population_1991,Population_2001,Population_2011,Population_2022
Barguna,BRG,Barisal,1984,বরগুনা জেলা,1831,805000,887376,927889,1035596
Barishal,BRS,Barisal,1797,বরিশাল জেলা,2785,2299000,2465249,2414729,2634203
Bhola,BHO,Barisal,1984,ভোলা জেলা,3403,1532000,1781043,1846351,1980452
Jhalokati,JHA,Barisal,1984,ঝালকাঠি জেলা,707,694000,726182,709914,677559
Patuakhali,PAT,Barisal,1969,পটুয়াখালী জেলা,3221,1323000,1527628,1596223,1770096
Pirojpur,PIR,Barisal,1984,পিরোজপুর জেলা,1278,1104000,1161548,1157215,1227915
Bandarban,BAN,Chattogram,1981,বান্দরবান জেলা,4496,246000,311741,404091,495252
Brahmanbaria,BBA,Chattogram,1984,ব্রাহ্মণবাড়ীয়া জেলা,1881,2268000,2509383,2953208,3403786
Chandpur,CHA,Chattogram,1984,চাঁদপুর জেলা,1645,2150000,2377088,2513838,2713247
Chattogram,CHI,Chattogram,1666,চট্টগ্রাম জেলা,5282,5744000,7009504,7913366,9439076
Cox's Bazar,COX,Chattogram,1984,কক্সবাজার জেলা,2492,1502000,1856151,2381814,2906281
Cumilla,CUM,Chattogram,1790,কুমিল্লা জেলা,3146,4264000,4807649,5602624,6394875
Feni,FEN,Chattogram,1984,ফেনী জেলা,990,1158000,1297987,1496139,1697379
Khagrachhari,KHA,Chattogram,1983,খাগড়াছড়ি জেলা,2749,366000,549134,638967,735116
Lakshmipur,LAK,Chattogram,1984,লক্ষ্মীপুর জেলা,1440,1391000,1558618,1797761,1994930
Noakhali,NOA,Chattogram,1821,নোয়াখালী জেলা,3686,2346000,2696453,3231832,3732042
Rangamati,RGM,Chattogram,1983,রাঙ্গামাটি জেলা,6116,430000,531489,620215,666627
Dhaka,DHA,Dhaka,1772,ঢাকা জেলা,1464,6164000,9151343,12517360,15210851
Faridpur,FAR,Dhaka,1815,ফরিদপুর জেলা,2053,1559000,1837631,1988695,2232772
Gazipur,GAZ,Dhaka,1984,গাজীপুর জেলা,1806,1683000,2142179,3548115,5433538
Gopalganj,GOP,Dhaka,1984,গোপালগঞ্জ জেলা,1469,1097000,1218789,1218319,1336907
Kishoreganj,KIS,Dhaka,1984,কিশোরগঞ্জ জেলা,2689,2388000,2714721,3028706,3373219
Madaripur,MAD,Dhaka,1984,মাদারীপুর জেলা,1126,1106000,1199374,1212199,1334811
Manikganj,MAN,Dhaka,1984,মানিকগঞ্জ জেলা,1384,1216000,1343468,1447301,1608372
Munshiganj,MUN,Dhaka,1984,মুন্সিগঞ্জ জেলা,1004,1229000,1353615,1502449,1677941
Narayanganj,NYG,Dhaka,1984,নারায়ণগঞ্জ জেলা,684,1819000,2289797,3074078,4035461
Narsingdi,NSD,Dhaka,1984,নরসিংদী জেলা,1150,1710000,1983571,2314889,2667968
Rajbari,RJB,Dhaka,1984,রাজবাড়ী জেলা,1092,866000,996147,1091263,1228267
