"Artist","Title","Year","Sales","Streams","Downloads","Radio Plays","Rating"
"Bill Haley & his Comets","Rock Around the Clock","1955","36.503","19.961","7.458","5.663","0.76"
"Celine Dion","My Heart Will Go On","1998","35.405","12.636","8.944","23.701","3.61"
"Sinead O'Connor","Nothing Compares 2 U","1990","35.135","14.582","10.242","23.747","2.733"
"The Beatles","Hey Jude","1968","34.442","25.545","16.39","16.541","1.51"
"Bryan Adams","(Everything I Do) I Do it For You","1991","34.367","16.523","12.368","23.194","3.121"
"Whitney Houston","I Will Always Love You","1992","34.112","14.873","11.29","20.753","4.46"
"Pink Floyd","Another Brick in the Wall (part 2)","1980","32.02","13.081","13.339","23.347","1.553"
"Irene Cara","Flashdance... What a Feeling","1983","31.305","15.18","11.115","17.803","2.686"
"Elton John","Candle in the Wind '97","1997","31.054","7.412","12.394","20.358","3.189"
"The Rolling Stones","(I Can't Get No) Satisfaction","1965","31.054","22.926","10.258","11.252","0.556"
"Coolio","Gangsta's Paradise","1995","30.822","11.036","8.073","22.988","1.073"
"Eminem","Lose Yourself","2002","30.554","12.994","7.143","15.69","2.083"
"Cher","Believe","1998","30.065","9.418","10.894","20.888","1.872"
"Usher","Yeah!","2004","29.535","14.647","8.4","13.727","1"
"The Beatles","Let it Be","1970","29.443","16.881","13.234","15.888","2.231"
"Procol Harum","A Whiter Shade of Pale","1967","29.428","12.018","15.602","16.833","0.558"
"Bee Gees","Stayin' Alive","1978","29.347","16.16","12.874","17.865","0.571"
"Leona Lewis","Bleeding Love","2008","29.316","9.512","10.05","16.324","1.076"
"The Police","Every Breath You Take","1983","28.976","17.905","11.434","10.774","1.177"
"Kim Carnes","Bette Davis Eyes","1981","28.919","16.184","7.289","19.735","1.5"
"Rihanna & Jay-Z","Umbrella","2007","28.653","11.117","8.833","14.706","1.611"
"George Harrison","My Sweet Lord","1971","27.598","11.705","14.644","18.002","1.085"
"Abba","Dancing Queen","1976","27.582","13.63","14.391","16.401","0.537"
"P Diddy & Faith Evans","I'll Be Missing You","1997","27.543","6.84","8.92","21.66","2.771"
"Britney Spears","Baby One More Time","1999","27.487","6.937","10.629","22.005","1.853"
"The Beatles","I Want to Hold Your Hand","1964","27.47","23.042","9.171","8.192","1.01"
"Michael Jackson","Billie Jean","1983","27.395","12.399","11.737","19.01","1.01"
"Bobby Darin","Mack the Knife","1959","27.33","19.36","5.583","3.74","0.55"
"John Travolta & Olivia Newton-John","You're the One That I Want","1978","26.79","8.046","14.992","22.145","0.555"
"USA For Africa","We Are the World","1985","26.681","10.855","13.627","18.761","1.51"
"Hanson","Mmmbop","1997","26.574","6.804","9.4","16.625","3.548"
"Madonna","Vogue","1990","26.504","9.586","8.353","17.74","2.701"
"Spice Girls","Wannabe","1996","26.329","6.756","10.21","20.26","1.74"
"Roy Orbison","Oh, Pretty Woman","1964","26.309","16.859","11.699","10.413","0.01"
"Eminem","Without Me","2002","26.225","8.266","8.085","15.431","2.233"
"The Village People","YMCA","1978","25.951","8.885","13.574","20.666","0.653"
"Stevie Wonder","I Just Called to Say I Love You","1984","25.939","8.76","13.416","24.393","0.833"
"George Michael","Careless Whisper","1984","25.89","12.439","13.217","16.467","0.75"
"John Lennon","Imagine","1971","25.732","14.567","17.978","9.755","1.119"
"Survivor","Eye of the Tiger","1982","25.708","12.265","13.264","11.537","0.554"
"Los Del Rio","Macarena","1996","25.687","9.313","5.253","18.24","3.093"
"Elvis Presley","Are You Lonesome Tonight?","1960","25.657","12.057","9.198","7.59","0.01"
"UB40","Can't Help Falling in Love","1993","25.587","8.814","8.737","16.123","3.032"
"OutKast","Hey Ya!","2003","25.543","13.645","4.483","9.778","1.972"
"Queen","Bohemian Rhapsody","1976","25.468","11.819","19.78","9.572","0.538"
"Barbra Streisand","A Woman in Love","1980","25.365","8.126","10.299","23.377","0.511"
"Katy Perry","I Kissed A Girl","2008","25.365","6.004","9.767","16.308","0.591"
"Judy Garland","Over the Rainbow","1939","25.291","17.159","3","0.7","0"
"Elvis Presley","It's Now Or Never","1960","25.254","9.789","11.625","6.587","0.667"
"No Doubt","Don't Speak","1997","25.142","6.687","9.395","18.522","1.673"
"Shakira & Wyclef Jean","Hips don't lie","2006","25.09","8.296","6.833","18.496","1.282"
"50 Cent","In Da Club","2003","25.013","10.576","8.167","11.643","0.518"
"Kylie Minogue","Can't Get You Out of My Head","2001","24.965","5.893","8.603","21.574","1.928"
"The Black Eyed Peas","Where is the Love?","2003","24.945","6.886","8.4","15.968","1.55"
"The Rolling Stones","Angie","1973","24.602","8.793","9.267","16.686","1.033"
"Mungo Jerry","In the Summertime","1970","24.345","8.963","13.318","17.706","0.547"
"Vaughn Monroe","(Ghost) Riders in the Sky","1949","24.324","12.371","6","0.53","0.583"
"Lady GaGa","Poker Face","2009","24.27","8.619","9.191","18.333","0.571"
"Ace of Base","The Sign","1994","24.202","9.274","6.95","12.405","3.833"
"Carl Douglas","Kung Fu Fighting","1974","24.144","7.882","13.798","16.192","0.587"
"Justin Timberlake","Sexyback","2006","24.062","9.08","7.85","10.218","2.571"
"Madonna","Hung Up","2005","23.935","6.452","5.552","19.778","2.65"
"Elvis Presley","Jailhouse Rock","1957","23.827","13.312","6.294","4.537","0.01"
"The Beatles","Help!","1965","23.82","12.665","9.832","9.809","0.521"
"Joan Jett & The Blackhearts","I Love Rock 'n' Roll","1982","23.739","13.422","10.538","9.452","0.529"
"Ricky Martin","Livin' La Vida Loca","1999","23.729","9.086","7.942","9.123","3.515"
"The Monkees","I'm a Believer","1967","23.629","15.525","14.769","8.638","0.539"
"Shakira","Whenever, Wherever","2002","23.62","3.543","8.753","20.757","1.715"
"Rihanna & Calvin Harris","We Found Love","2011","23.373","10.589","6.583","6.563","0"
"Frank Sinatra","Strangers in the Night","1966","23.348","15.484","8.049","11.804","0.591"
"Bruce Springsteen","Streets of Philadelphia","1994","23.234","9.077","5.033","20.524","1.553"
"The Righteous Brothers","Unchained Melody","1965","23.199","15.616","9.239","7.075","1.101"
"All-4-One","I Swear","1994","23.163","8.348","8.406","14.58","1.807"
"Glenn Miller","In the Mood","1940","23.153","13.666","1.5","2.622","0.583"
"Lou Bega","Mambo No 5 (A Little Bit of ...)","1999","23.068","3.543","9.735","22.074","1.657"
"Doris Day","Que sera sera (Whatever will be will be)","1956","23.058","10.691","6.529","4.287","0.563"
"Flo-Rida & T-Pain","Low","2008","23.053","12.411","9.6","2.887","0.833"
"Nat King Cole","Mona Lisa","1950","23.002","16.223","2.5","1.098","0.567"
"Terry Jacks","Seasons in the Sun","1974","23","8.13","14.117","15.153","0.01"
"Culture Club","Karma Chameleon","1983","22.967","7.164","15.818","15.898","0.529"
"Aerosmith","I Don't Want to Miss a Thing","1998","22.96","7.609","6.504","17.043","1.748"
"Blondie","Heart of Glass","1979","22.929","11.965","14.494","13.501","0.52"
"Boyz II Men","End of the Road","1992","22.898","12.287","7.905","8.656","2.567"
"The Fugees","Killing Me Softly With His Song","1996","22.861","3.62","8.439","23.086","1.686"
"Tony Orlando & Dawn","Tie a Yellow Ribbon 'round the Old Oak Tree","1973","22.858","12.339","15.219","6.933","0.593"
"Fergie","Big Girls Don't Cry","2007","22.615","8.695","8.5","7.3","2.02"
"Shocking Blue","Venus","1970","22.535","9.366","12.32","14.32","1.118"
"Eagles","Hotel California","1977","22.532","17.333","6.862","8.99","1.085"
"Bing Crosby","Swinging On a Star","1944","22.468","15.761","2.2","0.571","0.516"
"The Beatles","All You Need is Love","1967","22.448","9.415","13.004","11.93","0.531"
"Chubby Checker","The Twist","1960","22.42","19.039","4.716","1.6","0.567"
"Nelly & Kelly Rowland","Dilemma","2002","22.401","7.323","6.011","15.361","1.41"
"The Beatles","She Loves You","1964","22.398","15.736","10.626","6.88","0.677"
"Beyonce","Crazy in Love","2003","22.139","10.03","3.632","10.282","2.651"
"The Black Eyed Peas","I Gotta Feeling","2009","22.126","8.074","9","14.476","0.567"
"John Lennon","(Just Like) Starting Over","1980","22.094","11.893","10.558","10.674","1.187"
"Culture Club","Do You Really Want to Hurt Me?","1982","22.065","5.67","9.988","19.035","0.55"
"Brandy & Monica","The Boy is Mine","1998","22.026","9.228","5.811","10.457","2.597"
"Madonna","Like a Prayer","1989","21.992","9.617","9.006","18.434","2.026"
"Sean Kingston","Beautiful Girls","2007","21.963","5.274","9.2","8.292","2.85"
"Prince","When Doves Cry","1984","21.902","16.09","8.11","6.376","0.523"
"The Beatles","Yesterday","1965","21.879","16.534","4.319","9.083","1.01"
"The Pussycat Dolls","Don't Cha","2005","21.864","4.957","9.5","12.437","2.059"
"Bee Gees","Night Fever","1978","21.854","11.444","10.437","10.406","1.5"
"Diana Ross","Upside Down","1980","21.735","11.152","7.783","15.726","0.527"
"Madonna","Music","2000","21.688","7.246","7.093","14.284","2.662"
"Nickelback","How You Remind Me","2002","21.637","10.63","4.621","8.406","1.589"
"Archies","Sugar Sugar","1969","21.613","17.318","9.99","10.967","0.635"
"Christina Aguilera, Lil' Kim, Mya & Pink","Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?)","2001","21.557","6.863","7.834","14.175","1.389"
"A-Ha","Take On Me","1985","21.527","9.177","6.979","20.959","0.566"
"Las Ketchup","The Ketchup Song (Asereje)","2002","21.48","1.245","9.1","21.783","1.35"
"The Beatles","Get Back","1969","21.431","12.543","13.53","12.011","0.677"
"Rob Thomas & Santana","Smooth","1999","21.397","13.708","3.909","3.727","2.059"
"Snow","Informer","1993","21.344","5.239","7.168","17.839","2.813"
"Timbaland & OneRepublic","Apologize","2007","21.261","6.729","6","15.711","0.524"
"t.A.T.u.","All the Things She Said","2003","21.261","3.381","7.036","15.184","2.857"
"Take That","Back For Good","1995","21.14","2.414","9.519","15.852","2.09"
"The Beatles","Hello, Goodbye","1967","21.084","7.574","11.504","11.52","1.049"
"Chicago","If You Leave Me Now","1976","21.072","7.82","12.947","12.564","0.833"
"Aqua","Barbie Girl","1997","21.012","3.172","8.982","19.615","1.059"
